MeterId,ProductName,SKU,Region,Location,Price,Currency,ServiceFamily,Unit,EffectiveDate,Type
36d5f2f0-a4f4-500b-8fdd-8bad6b38b21c,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,1 vCore,canadacentral,CA Central,0.0945,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
36e384e6-77b2-5788-af87-3c2827693c33,Azure Database for MySQL Single Server Memory Optimized - Compute Gen5,1 vCore,swedencentral,SE Central,0.1429,USD,Databases,1 Hour,2021-06-08T00:00:00Z,Consumption
3d85aad3-7f90-57f1-91a6-262626f6f3b0,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,westus2,US West 2,0.1181,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
3d85aad3-7f90-57f1-91a6-262626f6f3b0,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,westus2,US West 2,621.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
3d85aad3-7f90-57f1-91a6-262626f6f3b0,Azure Database for MySQL Flexible Server Memory Optimized Eadsv6 Series Compute,vCore,westus2,US West 2,1241.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
36eee380-2702-551a-ae0b-8f3d178e1c90,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E8d_v5,westcentralus,US West Central,1.134,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
cb8411ac-b158-438d-8043-152cfe3392ea,Azure Database for MySQL Single Server General Purpose - Compute Gen5,vCore,southindia,IN South,0.1357,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
cb8411ac-b158-438d-8043-152cfe3392ea,Azure Database for MySQL Single Server General Purpose - Compute Gen5,vCore,southindia,IN South,694.0,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Reservation
36fc9a07-1a81-5181-99bf-d49762a4f5fb,Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute,1 vCore,eastus2,US East 2,0.1181,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
371233df-8047-528c-8746-8429d4ad74b5,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E8d_v5,koreasouth,KR South,1.134,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
371409c1-11ff-578d-a761-9a8bb2d60f29,Azure Database for MySQL Flexible Server Memory Optimized Easv6 Series Compute,1 vCore,indonesiacentral,ID Central,0.12762,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
37526df7-f7b7-53d4-a3c4-39e3481f384d,Azure Database for MySQL Flexible Server Burstable BS Series Compute,Standard_B4ms,canadaeast,CA East,0.346,USD,Databases,1 Hour,2022-12-01T00:00:00Z,Consumption
37d6d7a0-03ef-5617-95ed-ddbc499c3dcd,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,1 vCore,usgovarizona,US Gov AZ,0.1445,USD,Databases,1 Hour,2021-08-01T00:00:00Z,Consumption
37f8c045-9c68-5d0a-8bad-f29119218791,Az DB for MySQL Flexible Server Storage,Storage,belgiumcentral,BE Central,0.137,USD,Databases,1 GB/Month,2025-09-01T00:00:00Z,Consumption
37fe3d03-ac3d-5c51-a045-fe4b793b731f,Az DB for MySQL Flexible Server Storage,PMD LRS,westus,US West,78.0,USD,Databases,1 GB/Month,2023-03-01T00:00:00Z,Consumption
3801e3b0-b30f-590f-9f67-5db8054ff69b,Azure Database for MySQL Flexible Server Memory Optimized Eadsv5 Series Compute,1 vCore,swedencentral,SE Central,0.1206,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
38259a70-d6b5-5011-a63d-c70e9663069f,Azure Database for MySQL Flexible Server General Purpose Ddsv4 Series Compute,1 vCore,australiasoutheast,AU Southeast,0.1175,USD,Databases,1 Hour,2021-08-01T00:00:00Z,Consumption
9dcb3613-4b76-5f08-a4c1-6965781c68aa,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,brazilsouth,BR South,0.1155,USD,Databases,1 Hour,2025-07-01T00:00:00Z,Consumption
9dcb3613-4b76-5f08-a4c1-6965781c68aa,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,brazilsouth,BR South,607.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
9dcb3613-4b76-5f08-a4c1-6965781c68aa,Azure Database for MySQL Flexible Server General Purpose Dasv6 Series Compute,vCore,brazilsouth,BR South,1214.0,USD,Databases,1 Hour,2025-09-01T00:00:00Z,Reservation
24c83ef9-2128-5c42-9be9-5e6aafdf82c0,Azure Database for MySQL Flexible Server�Memory Optimized�Edsv4 Series Compute,Standard_Eas,westus,US West,0.1311,USD,Databases,1 Hour,2025-06-01T00:00:00Z,Consumption
38598a42-7524-5b1d-aa2f-2282ec205169,Az DB for MySQL Flexible Server Storage,Additional IOPS ZRS,japaneast,JA East,0.06,USD,Databases,1 IOPS/Month,2025-01-01T00:00:00Z,Consumption
abb399f4-21a3-5df5-b667-800bd2ee3ce4,Azure Database for MySQL Flexible Server General Purpose Dv3 Series Compute,4 vCore,indonesiacentral,ID Central,0.10575,USD,Databases,1 Hour,2025-05-01T00:00:00Z,Consumption
386ba7b1-65ce-5052-a3f3-10cb0ad89e0d,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E8d_v5,eastus,US East,0.945,USD,Databases,1 Hour,2022-07-01T00:00:00Z,Consumption
386ec7f2-1d82-4788-a36c-c36e38d0f40a,Azure Database for MySQL Single Server - Backup Storage,Backup GRS,ukwest,UK West,0.232,USD,Databases,1 GB/Month,2018-05-01T00:00:00Z,Consumption
386eebf3-8a52-534e-9f48-0cbfeee16281,Azure Database for MySQL Flexible Server Memory Optimized Edsv5 Series Compute,Standard_E16d_v5,chilecentral,CL Central,2.646,USD,Databases,1 Hour,2025-04-01T00:00:00Z,Consumption
387c17af-a673-5843-8273-c9604b7f9880,Azure Database for MySQL Flexible Server Memory Optimized Esv6 Series Compute,1 vCore,italynorth,IT North,0.12987,USD,Databases,1 Hour,2025-08-01T00:00:00Z,Consumption
